frequency;V(OUTBP) (gain);
721,107;-49,8412;
722,77;-49,8212;
724,436;-49,8012;
726,106;-49,7812;
727,78;-49,7612;
729,458;-49,7412;
731,139;-49,7212;
732,825;-49,7012;
734,514;-49,6812;
736,207;-49,6611;
737,904;-49,6411;
739,605;-49,6211;
741,31;-49,6011;
743,019;-49,5811;
744,732;-49,5611;
746,449;-49,5411;
748,17;-49,5211;
749,894;-49,5011;
751,623;-49,4811;
753,356;-49,4611;
755,092;-49,4411;
756,833;-49,4211;
758,578;-49,4011;
760,326;-49,3811;
762,079;-49,3611;
763,836;-49,3411;
765,597;-49,3211;
767,361;-49,3011;
769,13;-49,2811;
770,903;-49,2611;
772,681;-49,2411;
774,462;-49,2211;
776,247;-49,201;
778,037;-49,181;
779,83;-49,161;
781,628;-49,141;
783,43;-49,121;
785,236;-49,101;
787,046;-49,081;
788,86;-49,061;
790,679;-49,041;
792,501;-49,021;
794,328;-49,001;
796,159;-48,981;
797,995;-48,961;
799,834;-48,941;
801,678;-48,921;
803,526;-48,901;
805,378;-48,881;
807,235;-48,861;
809,096;-48,841;
810,961;-48,821;
812,831;-48,801;
814,704;-48,7809;
816,582;-48,7609;
818,465;-48,7409;
820,352;-48,7209;
822,243;-48,7009;
824,138;-48,6809;
826,038;-48,6609;
827,942;-48,6409;
829,851;-48,6209;
831,764;-48,6009;
833,681;-48,5809;
835,603;-48,5609;
837,529;-48,5409;
839,46;-48,5209;
841,395;-48,5009;
843,335;-48,4809;
845,279;-48,4609;
847,227;-48,4409;
849,18;-48,4208;
851,138;-48,4008;
853,1;-48,3808;
855,067;-48,3608;
857,038;-48,3408;
859,014;-48,3208;
860,994;-48,3008;
862,979;-48,2808;
864,968;-48,2608;
866,962;-48,2408;
868,96;-48,2208;
870,964;-48,2008;
872,971;-48,1808;
874,984;-48,1608;
877,001;-48,1408;
879,023;-48,1208;
881,049;-48,1008;
883,08;-48,0808;
885,116;-48,0607;
887,156;-48,0407;
889,201;-48,0207;
891,251;-48,0007;
893,305;-47,9807;
895,365;-47,9607;
897,429;-47,9407;
899,498;-47,9207;
901,571;-47,9007;
903,649;-47,8807;
905,733;-47,8607;
907,821;-47,8407;
909,913;-47,8207;
912,011;-47,8007;
914,113;-47,7807;
916,22;-47,7607;
918,333;-47,7406;
920,45;-47,7206;
922,571;-47,7006;
924,698;-47,6806;
926,83;-47,6606;
928,966;-47,6406;
931,108;-47,6206;
933,254;-47,6006;
935,406;-47,5806;
937,562;-47,5606;
939,723;-47,5406;
941,89;-47,5206;
944,061;-47,5006;
946,237;-47,4806;
948,418;-47,4606;
950,605;-47,4405;
952,796;-47,4205;
954,993;-47,4005;
957,194;-47,3805;
959,401;-47,3605;
961,612;-47,3405;
963,829;-47,3205;
966,051;-47,3005;
968,278;-47,2805;
970,51;-47,2605;
972,747;-47,2405;
974,99;-47,2205;
977,237;-47,2005;
979,49;-47,1805;
981,748;-47,1604;
984,011;-47,1404;
986,279;-47,1204;
988,553;-47,1004;
990,832;-47,0804;
993,116;-47,0604;
995,405;-47,0404;
997,7;-47,0204;
1000;-47,0004;
1002,31;-46,9804;
1004,62;-46,9604;
1006,93;-46,9404;
1009,25;-46,9204;
1011,58;-46,9003;
1013,91;-46,8803;
1016,25;-46,8603;
1018,59;-46,8403;
1020,94;-46,8203;
1023,29;-46,8003;
1025,65;-46,7803;
1028,02;-46,7603;
1030,39;-46,7403;
1032,76;-46,7203;
1035,14;-46,7003;
1037,53;-46,6803;
1039,92;-46,6602;
1042,32;-46,6402;
1044,72;-46,6202;
1047,13;-46,6002;
1049,54;-46,5802;
1051,96;-46,5602;
1054,39;-46,5402;
1056,82;-46,5202;
1059,25;-46,5002;
1061,7;-46,4802;
1064,14;-46,4602;
1066,6;-46,4402;
1069,05;-46,4201;
1071,52;-46,4001;
1073,99;-46,3801;
1076,47;-46,3601;
1078,95;-46,3401;
1081,43;-46,3201;
1083,93;-46,3001;
1086,43;-46,2801;
1088,93;-46,2601;
1091,44;-46,2401;
1093,96;-46,2201;
1096,48;-46,2;
1099,01;-46,18;
1101,54;-46,16;
1104,08;-46,14;
1106,62;-46,12;
1109,17;-46,1;
1111,73;-46,08;
1114,29;-46,06;
1116,86;-46,04;
1119,44;-46,02;
1122,02;-45,9999;
1124,6;-45,9799;
1127,2;-45,9599;
1129,8;-45,9399;
1132,4;-45,9199;
1135,01;-45,8999;
1137,63;-45,8799;
1140,25;-45,8599;
1142,88;-45,8399;
1145,51;-45,8199;
1148,15;-45,7998;
1150,8;-45,7798;
1153,45;-45,7598;
1156,11;-45,7398;
1158,78;-45,7198;
1161,45;-45,6998;
1164,13;-45,6798;
1166,81;-45,6598;
1169,5;-45,6398;
1172,2;-45,6198;
1174,9;-45,5997;
1177,61;-45,5797;
1180,32;-45,5597;
1183,04;-45,5397;
1185,77;-45,5197;
1188,5;-45,4997;
1191,24;-45,4797;
1193,99;-45,4597;
1196,74;-45,4397;
1199,5;-45,4196;
1202,26;-45,3996;
1205,04;-45,3796;
1207,81;-45,3596;
1210,6;-45,3396;
1213,39;-45,3196;
1216,19;-45,2996;
1218,99;-45,2796;
1221,8;-45,2596;
1224,62;-45,2395;
1227,44;-45,2195;
1230,27;-45,1995;
1233,1;-45,1795;
1235,95;-45,1595;
1238,8;-45,1395;
1241,65;-45,1195;
1244,51;-45,0995;
1247,38;-45,0794;
1250,26;-45,0594;
1253,14;-45,0394;
1256,03;-45,0194;
1258,93;-44,9994;
1261,83;-44,9794;
1264,74;-44,9594;
1267,65;-44,9394;
1270,57;-44,9193;
1273,5;-44,8993;
1276,44;-44,8793;
1279,38;-44,8593;
